pdb,Hchain,Lchain,antigen_chain,delta_g,temperature,pdb_exists
5w08,K,L,C,-10.092595930642474,,True
1nca,H,L,N,-11.02,25.0,True
4ypg,H,L,D,-14.128858472801308,,True
2vxs,J,N,D,-11.83,,True
2oqj,E,D,F,-5.04,25.0,True
4fqr,a,b,A,-9.54970862587178,,True
4f9p,D,d,B,-10.67372125591851,,True
4j8r,B,A,I,-10.503274322962254,,True
5zia,G,L,R,-8.898798774188476,,True
2r56,I,M,B,-12.12,,True
2qhr,H,L,P,-10.07,25.0,True
5mi0,B,C,A,-8.713721871255862,,True
1vfb,B,A,C,-11.47,24.0,True
3hi6,H,L,A,-7.26,,True
4ypg,B,A,C,-14.128858472801308,,True
3q3g,K,J,L,-11.32,25.0,True
5drz,H,L,P,-11.400370293980798,,True
2vwe,E,C,A,-13.56,,True
1q72,H,L,H,-9.350354316900614,,True
1mh5,H,L,H,-12.571059308451574,,True
1zea,H,L,A,-7.123876292458442,,True
3dvn,B,A,Y | X,-9.59,,True
5a2i,H,h,P,-6.896959633430256,,True
3eob,H,L,I,-11.8,25.0,True
4kxz,Q,P,D,-11.627286953008984,,True
1sy6,H,L,A,-7.59,25.0,True
5xmh,H,L,A,-5.178506877772148,,True
5tkj,J,K,L,-11.112714836617696,,True
3etb,I,i,M,-14.26,25.0,True
5drz,B,A,Q,-11.400370293980798,,True
3ifp,E,F,S,-10.38,25.0,True
5myk,B,A,C,-12.284151464664008,,True
2ntf,H,L,H,-9.25,37.0,True
4xgz,C,D,c,-10.395251776049642,,True
6bf4,B,C,A,-9.20807461785177,,True
4dn4,H,L,M,-14.215718638691294,,True
4fqr,w,x,W,-9.54970862587178,,True
4yhp,H,L,P,-11.867518412372508,,True
5csz,H,L,D,-10.599564136380756,,True
4mhj,K,J,G,-12.27819680469229,,True
4f9l,d,D,A,-9.795894745207022,,True
5u7o,H,L,G,-9.736169606109948,,True
3uc0,I,M,B,-12.6,37.0,True
5c0s,H,L,A,-11.06880707255872,,True
3iu3,A,B,K,-13.44,25.0,True
4khx,H,L,A,-11.427932644037815,,True
1ngw,B,A,B,-10.48,,True
4m5z,H,L,A,-11.324631107601816,,True
1jps,H,L,T,-13.63,25.0,True
4hj0,C,D,B,-10.420467653019871,,True
4f3f,B,A,C,-12.472830103186848,,True
5nh3,I,M,B,-12.294413792096064,,True
3fku,U,u,H | G,-13.48,25.0,True
2z92,A,B,A,-10.85,25.0,True
4zs6,C,D,B,-8.875561141727196,,True
1n7m,L,H,L,-7.78,,True
4z5r,W,V,F,-14.658430977236662,,True
6bit,J,L,G,-11.712071867460317,,True
5kov,C,c,A,-11.907338499719083,,True
2qr0,R,Q,P,-11.5,37.0,True
5bo1,I,M,A,-12.41785844031504,,True
4n8c,H,L,X,-12.821084109462982,,True
5u8q,H,L,A,-7.666763597229133,,True
1dbb,H,L,H,-12.27819680469229,,True
6bli,D,E,F,-12.665637564550789,,True
5dmi,H,L,A,-12.33407434312871,,True
4m8q,A,B,S,-11.462794680024446,,True
4kxz,N,M,E,-11.627286953008984,,True
6h06,E,F,J,-7.164753442850797,,True
4cmh,B,C,A,-13.23176250178276,,True
3ikc,B,A,B,-10.171711101540176,,True
5aaw,K,k,L,-11.411241859183765,,True
3eoa,H,L,I,-11.8,25.0,True
4m1g,H,L,B | A,-10.697907621456812,,True
6mu3,H,L,H,-8.39678861981014,,True
4xi5,D,C,B | A,-12.700844971389516,,True
5dwu,H,L,A | B,-9.972356792569007,,True
3n85,H,L,A,-12.41,,True
3uaj,C,D,B,-11.647373069103503,,True
5i5k,X,Y,A,-14.671745777572,,True
2nyy,D,C,A,-15.72,23.0,True
3eo1,H,G,I,-13.09,,True
6bb4,I,M,Q,-10.65812868023894,,True
5kzp,F,J,C,-9.761032709220396,,True
4iof,E,F,B,-11.456840020052727,,True
2hkf,H,L,P,-8.89,25.0,True
5kzp,H,L,A,-9.761032709220396,,True
5dyo,H,L,A,-13.935303397861828,,True
1dzb,A,a,X,-8.57,25.0,True
5alb,H,L,L,-14.607976365570464,,True
5hys,A,B,G,-14.201849726854263,,True
5m63,H,L,L,-9.493238899799852,,True
2vis,B,A,C,-7.36,25.0,True
4nm8,H,L,B | A,-11.735309499921597,,True
4aei,H,L,A,-12.4104057171432,,True
2y06,H,L,P,-8.317673448912437,,True
1igj,D,C,D,-13.91,20.0,True
1ob1,B,A,C,-12.29,4.0,True
5mes,H,L,A,-8.824641654650721,,True
5d1q,B,A,E,-14.851238438600603,,True
3nfp,H,L,I,-13.05,25.0,True
4jan,A,B,I,-10.503274322962254,,True
2vxs,K,O,C,-11.83,,True
3hzm,B,A,B,-7.534554684778222,,True
3g5y,B,A,E,-9.29,25.0,True
5mev,H,L,A,-9.54970862587178,,True
1f90,H,L,E,-10.8,,True
6ii8,J,K,E,-8.749460362550247,,True
2r23,B,A,B,-5.076688405139296,,True
4mhh,H,L,E,-12.340621190735936,,True
4z5r,Z,Y,X,-14.658430977236662,,True
4yho,H,L,H,-14.658430977236662,,True
1d6v,H,L,H,-8.422740958876435,,True
3dvn,H,L,V | U,-9.59,,True
5t6p,D,C,E,-8.26120372284051,,True
5tfw,H,L,O,-14.71358553366757,,True
1uwx,H,L,P,-7.9,,True
3gm0,a,A,A,-10.599564136380756,,True
2jix,H,L,E,-10.26,,True
2r0z,H,L,Q,-7.33,20.0,True
4d9r,H,L,A,-15.549572288283487,,True
4lmq,E,I,F,-12.32567017838922,,True
3hae,H,L,A | C,-10.0,,True
5xwd,H,D,A,-11.22656650399949,,True
5t29,H,L,O,-12.85303577200258,,True
1ind,H,L,H,-13.62,37.0,True
3b2u,F,G,E,-12.27,25.0,True
3c09,H,L,D,-10.04,25.0,True
3nh7,K,O,D,-10.5,25.0,True
3etb,F,f,J,-14.26,25.0,True
2a6k,H,L,P,-9.11012285753709,,True
4r3s,A,B,Q,-11.216608560689204,,True
4etq,H,L,C,-13.29418688782641,,True
1f4x,H,L,H,-7.62,,True
6bf4,H,L,G,-9.20807461785177,,True
5tz2,H,L,C,-12.211051408172032,,True
3mac,H,L,A,-9.23,28.0,True
5yoy,P,M,K,-14.658430977236662,,True
3h42,H,L,B | A,-15.54,25.0,True
1hez,D,C,E,-9.32,25.0,True
1jgl,H,L,L,-11.867518412372508,,True
5eoc,J,M,Q,-10.257147454957629,,True
4xh2,A,B,a,-11.216608560689204,,True
6h06,H,L,I,-7.164753442850797,,True
4f9l,c,C,B,-9.795894745207022,,True
3gjf,H,L,A | C,-9.82,,True
4am0,C,D,T,-12.792176733448072,,True
4mhj,H,L,A,-12.27819680469229,,True
4aei,I,M,B,-12.4104057171432,,True
6cmg,C,B,A,-10.316754097318308,,True
4odx,H,B,X,-11.850005304444045,,True
2fx8,J,N,R,-8.89,,True
4onf,H,L,P,-12.170174257779676,,True
6mhr,A,B,C,-10.446804596890326,,True
2i60,H,L,G,-11.193370928227925,,True
3ijh,B,A,B,-5.456976357641017,,True
6cdp,A,B,C,-11.985097354847062,,True
1mlc,B,A,E,-9.6,25.0,True
1ngw,H,L,H,-10.48,,True
4wht,A,B,a,-11.053614350904786,,True
4yk4,C,B,A,-8.78422937966864,,True
4i2x,D,C,F,-8.077441989548914,,True
4uil,H,L,H,-9.872450587373468,,True
3l5w,B,A,J,-14.0,25.0,True
5ywy,H,L,A,-9.862322414589237,,True
5w08,I,J,B,-10.092595930642474,,True
5aaw,D,d,E,-11.411241859183765,,True
3t2n,H,L,A,-10.5,37.0,True
6mub,M,K,M,-9.54970862587178,,True
5vzy,H,L,A,-11.589048932503635,,True
2jb6,B,A,B,-14.95021525744087,,True
5vob,H,L,D | B,-13.40220943473902,,True
2r1w,B,A,B,-6.278333142280578,,True
1pz5,B,A,C,-7.8,25.0,True
3p0y,H,L,A,-12.36,37.0,True
5tzt,H,L,C,-11.653534133424982,,True
1e6j,H,L,P,-10.28,,True
4u6h,A,B,E,-13.698318432538963,,True
4leo,A,B,C,-12.68887519701207,,True
1w72,I,M,D | F,-10.71,,True
6b3s,C,D,B,-10.805930168369423,,True
2oqj,B,A,C,-5.04,25.0,True
6a0z,H,L,A,-9.925863641076688,,True
6e63,H,L,P,-11.503030961041176,,True
3ve0,A,B,J | J | I,-7.792832727482168,,True
4wv1,B,A,C,-11.712071867460317,,True
5wi9,H,L,A,-13.731800994840723,,True
6flb,H,L,G,-12.27819680469229,,True
1nl0,H,L,G,-11.99972732482342,,True
3lhp,H,L,S,-15.17,,True
5yoy,Q,N,L,-14.658430977236662,,True
5gzo,C,D,B,-9.258056023338968,,True
3lqa,H,L,G | C,-7.9,25.0,True
6e63,B,C,A,-11.503030961041176,,True
3lh2,K,O,V,-11.25,,True
3b2u,T,U,S,-12.27,25.0,True
5anm,H,L,F,-15.975251068647337,,True
5zxv,C,D,B,-9.87655083681725,,True
6ii8,H,L,C,-8.749460362550247,,True
2aep,H,L,A,-10.8,,True
5zia,O,P,Q,-8.898798774188476,,True
2i5y,R,Q,P,-11.689711339052632,,True
4why,M,N,B,-11.053614350904786,,True
3rkd,D,C,B,-11.22,,True
3ifp,C,D,R,-10.38,25.0,True
5f3b,E,F,D,-15.720019221239747,,True
1flr,H,L,L,-12.55,22.0,True
4iof,C,D,A,-11.456840020052727,,True
6bb4,J,N,R,-10.65812868023894,,True
3h3p,I,M,T,-10.71,25.0,True
6h0e,C,D,G,-9.031007686639388,,True
1fl3,A,B,A,-9.27123914600291,,True
2fl5,H,L,H,-11.929942798416157,,True
6b5r,H,L,A,-11.967303714867905,,True
4g6f,H,L,P,-10.599564136380756,,True
3uaj,H,L,A,-11.647373069103503,,True
3nh7,H,L,A,-10.5,25.0,True
4wuu,E,D,A | C,-10.749460442297496,,True
1tet,H,L,P,-8.24,23.0,True
1c12,B,A,A,-11.57,17.0,True
4h88,H,L,A,-11.647373069103503,,True
4u6v,H,L,A,-15.006684983512798,,True
2cmr,H,L,A,-14.04,25.0,True
4jzj,H,L,C,-11.456840020052727,,True
1bj1,H,L,W,-11.55,25.0,True
3nfp,A,B,K,-13.05,25.0,True
3e8u,H,L,P,-13.14,23.0,True
4idj,H,L,A,-16.056540494021775,,True
5a2j,H,h,P,-7.986110227490359,,True
3kr3,H,L,D,-14.06,25.0,True
5t5b,A,B,O,-13.519788377213574,,True
6b3s,F,G,E,-10.805930168369423,,True
5gkr,A,B,T,-11.372746740093346,,True
2jb6,H,L,H,-14.95021525744087,,True
5gzo,H,L,A,-9.258056023338968,,True
6bck,H,L,G,-12.367556905430469,,True
2xzq,H,L,P,-8.983583688639808,,True
4qti,H,L,U,-10.592634423700437,,True
2fx9,H,L,P,-10.59,,True
5zia,A,B,C,-8.898798774188476,,True
3ggw,B,A,E,-7.55,25.0,True
4dkf,H,L,A,-11.607859518116271,,True
3qwo,H,L,P,-9.63,,True
4gms,J,N,E,-10.503274322962254,,True
4xgz,A,B,a,-10.395251776049642,,True
5vyf,B,A,C,-13.271582589129338,,True
5kov,K,k,H,-11.907338499719083,,True
5tkj,A,B,C,-11.112714836617696,,True
5kn5,D,E,F,-13.630708160608432,,True
5zia,D,E,F,-8.898798774188476,,True
4fqv,J,N,D | C,-12.22172707862036,,True
2c1p,B,A,B,-7.3641077518219635,,True
6cwt,C,D,F,-15.960250680603272,,True
4hkx,A,B,E,-8.790776227275865,,True
5sx4,H,L,N,-12.917373922881485,,True
3dvg,B,A,Y | X,-10.99,,True
1i8i,B,A,C,-10.446804596890326,,True
1i8k,B,A,C,-10.44,,True
2a6i,B,A,P,-9.44,25.0,True
1aj7,H,L,H,-5.31,27.0,True
4fqr,m,n,M,-9.54970862587178,,True
2zpk,I,M,Q,-7.95,25.0,True
4rdq,G,F,E,-10.67372125591851,,True
2pcp,D,C,C,-11.867518412372508,,True
5czx,H,L,A,-12.58085265009946,,True
4ala,H,L,C,-12.725535363908447,,True
5tkj,G,H,I,-11.112714836617696,,True
4g3y,H,L,C,-10.996463217420198,,True
1s3k,H,L,H,-9.031007686639388,,True
6blh,H,L,G,-11.442210050076367,,True
3eo1,K,J,L,-13.09,,True
5wux,C,D,G,-14.40948636554907,,True
2wub,R,Q,C,-9.3,25.0,True
3hae,O,N,J | M,-10.0,,True
1n64,H,L,P,-12.12,,True
4dgi,H,L,A,-8.658567314824953,,True
5zxv,H,L,A,-9.87655083681725,,True
2or9,I,M,P,-8.6,25.0,True
4wv1,E,D,F,-11.712071867460317,,True
6d01,G,H,J,-8.927113962567878,,True
5grj,H,L,A,-14.15501182414434,,True
2fx8,I,M,Q,-8.89,,True
4mhh,G,I,C,-12.340621190735936,,True
5igx,H,L,G,-8.387550558127923,,True
1etz,B,A,B,-9.73,,True
2y07,H,L,P,-8.488120381868695,,True
2pcp,B,A,B,-11.867518412372508,,True
2oqj,H,G,I,-5.04,25.0,True
2yk1,H,L,H,-11.09,,True
6b08,C,B,A,-10.635483235413163,,True
3etb,H,h,L,-14.26,25.0,True
1qyg,H,L,H,-9.350354316900614,,True
3kdm,H,L,H,-9.54,25.0,True
1za3,H,L,R,-10.18,,True
4ris,H,L,P,-8.247888922505172,,True
1fe8,H,L,A,-7.774786144141744,,True
4jg0,H,L,P,-9.22839033429018,,True
6mnf,M,K,M,-8.030017991549332,,True
6bli,A,B,C,-12.665637564550789,,True
4u6v,K,M,B,-15.006684983512798,,True
3eo1,E,D,F,-13.09,,True
2bjm,H,L,H,-5.046297965321237,,True
4m1d,I,M,Q,-10.420467653019871,,True
3nh7,J,N,C,-10.5,25.0,True
2jix,F,A,C | B,-10.26,,True
3w2d,H,L,A,-12.60226823733781,,True
4fqi,H,L,B | A,-12.340621190735936,,True
4jn2,H,L,L,-15.931343304588362,,True
5hhx,H,L,A,-11.201015985009631,,True
5c0n,C,D,B,-7.34515831911734,,True
2xqb,H,L,A,-14.02,,True
5wt9,H,L,G,-12.058051461423284,,True
3fku,T,t,L | K,-13.48,25.0,True
6ii9,P,Q,E,-10.521320906302677,,True
4k9e,H,L,C,-15.27110280841462,,True
3b2u,Q,R,P,-12.27,25.0,True
3eyu,H,L,Q,-10.21,20.0,True
5ush,D,E,A,-12.037965345328766,,True
5yoy,H,E,C,-14.658430977236662,,True
1mlc,D,C,F,-9.6,25.0,True
3uyp,A,a,B,-7.349477781845606,,True
2qr0,L,K,I,-11.5,37.0,True
4g6j,H,L,A,-11.442210050076367,,True
5usl,H,L,X,-14.728215503643929,,True
2fjh,B,A,W,-11.94,37.0,True
4am0,H,L,R,-12.792176733448072,,True
5w08,O,P,E,-10.092595930642474,,True
5utz,F,G,E,-11.904493814008964,,True
